,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,start_point,end_point,isIntrusion,intrusion_zone
0,3.4797551125287374e-11,1.729668547697464e-06,-1.0745048988733581e-06,1.6967330739468475e-06,1.408154044608013e-06,-1.2476598344547717e-06,4.392522559652418e-07,-1.8225773195919368e-07,-1.978192529358911e-06,-4.215552220146468e-08,-2.6814479133678917e-07,-1.6247727372055865e-06,-2.1541748198273224e-06,-2.6988380036020373e-06,2.3027813301915515e-07,2.660148766016248e-06,6.065386310442813e-07,7.109488959081492e-07,-2.460589130690114e-06,-2.3810658307775456e-06,-4.249297850669807e-07,3.303946670308325e-07,1.05302474344318e-06,-4.559466917812365e-07,-1.4278294321794314e-06,-2.0045815360798195e-06,-1.8734255858846765e-06,-9.811222471791184e-07,8.919533211692275e-07,-1.1305672571324454e-06,-1.667035552589853e-07,1.8780556387746998e-06,1.989439857037062e-06,3.2277447229228304e-06,1.7351132425056601e-06,7.391018328444378e-07,-2.735618292442222e-07,-1.1033060481996067e-06,1.204277034322224e-06,2.7528211857187797e-06,-1.378604975389025e-06,2.808938514668735e-07,-4.687482636198982e-07,2.0301797050551774e-06,-4.6785611944712494e-08,2.1000977266905606e-06,1.0518146682739898e-06,-1.8212266757144891e-06,1.1801645795490303e-06,-6.584583939950027e-07,2.5284361247638124e-07,-3.0472883780219284e-07,2.2825809324255805e-06,5.073307242495087e-06,-3.385382027227407e-08,-2.7967959037372356e-07,2.8114762235988827e-06,8.173077976471083e-06,3.985290768168627e-06,1.904510657408558e-06,7.973672245256084e-07,-3.5730060842559166e-06,-8.399049984671809e-07,3.0591278528636575e-07,8.540776805390869e-07,2.1332240877425853e-07,-3.6571921972706947e-07,-1.5848159558933504e-06,-1.495608186647757e-06,-1.4843798897886274e-06,1.4812680741605345e-06,-3.309011473240386e-06,-4.382304260417032e-07,4.630517937251506e-08,3.359236982830474e-06,8.443110879540155e-07,4.893924904346859e-07,2.4701638321211907e-06,-7.742057951105226e-07,1.3011388291521604e-06,-4.855611623027188e-06,7.574909308290766e-07,6.573821686286022e-07,4.2272512659213574e-06,2.8006082690261447e-07,-3.2730637832814255e-07,2.1557700979565365e-06,-3.7581392916315876e-07,-2.0560556439385216e-07,-1.8102599917903424e-06,1.1813338187181659e-06,4.5100377287396703e-07,4.933022005338132e-08,-1.2094622655054506e-06,8.495824917452996e-08,-1.3608875445146086e-07,-8.673617379884035e-19,0.00913152054945607,40.904135562777824,0.0,0.0
1,-5.774668677266392e-10,-9.667018675686527e-07,-1.1727458055027723e-06,-8.148441016523136e-07,-1.0856823331665383e-06,-2.618000628687011e-08,1.5368745661260554e-06,-4.809666639098023e-07,7.355429902915905e-08,1.6202322262352862e-06,-8.258092650300763e-07,-1.0594605239894715e-06,1.1068841003652498e-06,-2.0665402145744662e-06,-2.048373142782018e-06,3.6400236355523495e-06,1.6241170621568261e-06,1.5380927600185633e-06,1.6153947453253527e-06,3.2294200506361934e-06,-9.324362273815121e-07,9.493653222143679e-07,-1.61351334735803e-06,-5.138335689958379e-07,1.4511658343762572e-06,7.085880059487081e-07,1.988441479638947e-06,1.4543793245705774e-06,-2.3134659742117883e-07,1.3637727999420883e-06,1.2186404089314928e-07,-1.4315310691306003e-06,-3.0251046690176267e-06,-3.310601608546909e-06,1.7718259406278693e-06,-1.668488761382927e-06,-1.1662758612794935e-06,-8.748095571878799e-07,1.168242956012689e-07,-6.269452771105917e-07,-3.4386544834046767e-07,-2.101992055700188e-06,-2.0347521765373515e-06,-3.605971016386496e-06,1.1691803869811517e-06,-2.290085180881073e-06,3.534700320760066e-07,9.940509986702773e-07,7.154321394896475e-07,9.175916029999784e-07,-7.373372581751122e-07,1.7356306159085552e-07,-1.8536125425691954e-06,-2.903211687114624e-06,2.0279110300750955e-06,5.616962264294242e-06,1.5018355185468166e-06,-7.417466481348788e-07,1.6030958452490328e-06,-2.0281236301343975e-06,-1.640359034204078e-07,-2.770463312213277e-07,-1.0543161553893646e-07,-9.520388178244435e-07,-1.5713099292214631e-06,3.3279423222818544e-08,2.4542808341925307e-06,-1.5130027403035054e-07,1.0400854925322195e-07,-1.36156133072351e-06,1.4523105860298618e-06,-8.55795812341716e-08,1.9776917085771468e-06,2.6859448670547067e-06,-1.0682313073964245e-06,1.4384454987178131e-06,-1.9205652919976552e-07,-5.260919001502651e-07,2.266388779778182e-07,-2.0726038417000475e-06,3.376704140077222e-07,8.157843109177915e-07,-8.97957496349272e-07,-5.0349881017476734e-06,-2.7054772076015414e-06,-3.5137605837701376e-06,1.575401582150208e-06,-9.616060280708862e-07,-3.5017197507012515e-07,2.454177865465236e-06,-9.384167976289864e-07,-2.559091342040662e-07,9.168085361230662e-07,8.087108530253516e-07,7.078942851875339e-07,4.94634141026554e-07,-6.505213034913027e-19,41.00507853473997,81.80641805256005,0.0,0.0
2,7.97467011263292e-10,5.440601970672747e-07,5.968525155163572e-07,-2.1362421258157294e-08,-2.463315757064775e-07,4.842711798113851e-07,-8.860240817888342e-07,6.470652789998662e-07,5.430933838863287e-07,-1.4586032454055311e-06,2.3008179680760864e-06,3.0765425943161256e-06,8.899332039303751e-07,2.6586434927272033e-06,1.504112552572559e-06,-4.745919190690369e-06,3.469194288260695e-07,-4.806608618775597e-07,-1.1746226635132515e-06,-1.1339531799810752e-07,-4.154685852121381e-07,-3.8196654733377566e-07,1.3623784710606757e-06,8.974504045371548e-07,-5.205551730486481e-07,5.021338786116367e-07,7.153065065811657e-07,-9.826221797535305e-07,5.75839812370308e-07,-3.262922770111594e-06,2.607847917557738e-06,1.2275808350687561e-06,6.561469022533031e-07,4.3447700355568955e-07,-3.7998638862141057e-06,4.1850926569136915e-06,1.4592226236991935e-06,-2.1324196221455833e-06,-3.1223233839198367e-06,-4.233183368337629e-06,4.913757441320221e-07,2.331566617115371e-06,2.31711617424378e-06,1.3797135160176742e-06,-2.0509093396236426e-06,-1.418988931341323e-06,-2.3311669070083443e-06,-2.368081921435498e-06,-1.6384397810698917e-06,8.018229640407469e-07,1.7293982520733648e-06,-1.116778702812309e-06,-3.812624999955175e-08,2.6201196066305337e-06,-1.9071620464068857e-07,1.8439547610962087e-06,-2.3714846426187153e-06,-6.116478140785449e-06,-5.609381230523014e-06,3.5570830695876195e-06,7.89270540228846e-08,8.856996942916036e-08,2.816534606381565e-06,8.692207863380795e-07,1.967800350772381e-06,-3.3362868362788465e-06,5.498998970069257e-07,-5.578136353157938e-07,-3.1391994727422365e-07,-8.958670017144513e-07,-2.7225723508701814e-06,-6.184065767032669e-07,1.3049379836780738e-06,-7.942708336145746e-07,5.091160717977808e-07,-4.30123682074342e-07,1.843730713888556e-07,-1.7011490384196158e-06,1.5846953353692767e-06,1.4432906778584715e-06,4.735700761741672e-07,1.1153333460303498e-06,-4.7233819727016124e-08,6.238098990689334e-06,1.2015759346469153e-07,-8.436936836751091e-08,-2.967068724832778e-06,1.3086222996059379e-06,-1.0091853854129161e-06,-2.592478859753328e-06,-1.47445753826813e-06,-1.4136258650740625e-06,1.3793436858271137e-07,-3.1676356281089496e-07,-5.100910626941219e-07,-4.0255195863877526e-07,1.3010426069826053e-18,81.91258993031936,122.81789357834978,0.0,0.0
3,-2.959881948913501e-10,3.3905125599751826e-07,2.861874526675955e-07,1.2373422285816976e-06,1.5485609345569206e-06,-4.0175643093766106e-07,-7.252355108893521e-07,-5.40764591151939e-07,-1.974722945883786e-08,-8.548540925602962e-07,-1.8135385826930153e-06,-1.058409573188911e-06,2.308413816023893e-06,-1.5863247856352704e-06,-1.392065729342775e-06,-4.490299771763625e-07,2.9523676187731725e-06,7.18899875757923e-07,2.039666100574775e-06,-1.1554599699330984e-06,1.163235046924946e-06,-4.6497334404939014e-07,-9.18402247088862e-07,-7.344738653023136e-08,-1.6863266334558348e-07,-9.700705535604839e-07,-2.4151529763567032e-06,-1.0202814977660832e-06,-4.916017811639958e-07,1.026601414869403e-06,-7.581605318569135e-07,1.2330985847183035e-06,1.658376052147189e-06,7.01651552153246e-07,3.889401727835882e-06,-4.34320047166395e-06,-1.4273365174160635e-06,2.0487386336949433e-06,3.0735935961320217e-06,3.7345310485103166e-06,-2.0036192405160566e-07,-2.799733575191638e-06,-1.3728053822954951e-06,1.672307778985329e-06,1.7882472087819455e-06,3.849828523321344e-06,2.416560983142628e-06,3.701569585216934e-06,1.2939516976470428e-06,-1.4685634325230023e-06,-8.918988230202868e-07,1.0130902778513959e-06,-4.6553098773452484e-07,-2.786836632282506e-06,2.096984765894306e-06,-4.1371597732605715e-06,1.1026270222962847e-06,1.935280077107124e-06,2.7173064487441556e-06,-3.3305673301680435e-06,-4.708616106769304e-07,-3.61176665784153e-07,-1.1003896072714662e-06,-8.515204369291166e-07,-4.62270592741041e-07,2.3316175134499356e-06,7.69616624297486e-07,1.4827311401767462e-06,5.393611994474433e-07,1.9230483079004605e-06,-1.7295524008694146e-06,7.273898058332909e-07,-2.739905554751277e-06,-1.1962037939150863e-06,-2.3035471639054877e-06,1.2343040470016824e-06,1.0195178670940408e-06,8.253737608623408e-07,2.927077332348676e-07,6.952834504321721e-07,4.918127330395382e-07,-4.068112775352725e-07,9.092649974505249e-07,-2.7280472637437186e-06,3.65509442159552e-06,2.0213674045491126e-06,2.071244706020937e-06,-1.0489488875568744e-06,7.127258240292866e-07,5.924097913792125e-07,-6.060519121231468e-07,2.2694196267405563e-06,3.9046858794995125e-07,-5.901800752383234e-07,9.370104619035413e-07,1.0874429788891235e-07,-3.3733364179257264e-09,122.89311440642658,163.76075746619222,0.0,0.0
4,1.4263213787141238e-10,-8.383938291584882e-07,-8.720059701703906e-08,-1.3540419539466789e-06,-1.309397316054525e-06,9.558595416824791e-07,9.235621244497349e-07,1.7263650765026286e-06,1.35953131215295e-07,-4.867451564946764e-07,-1.1152770500065176e-06,6.249474186247397e-07,-6.490936023471894e-06,-5.913780479619487e-07,1.9058858585804632e-06,3.655958160522473e-06,3.1707915977715294e-07,1.3208633148735494e-06,-1.8533728516072386e-07,2.412967027506929e-07,-5.903976442660317e-07,-6.251991000184493e-07,1.197490701402128e-06,-8.188986247465867e-07,-1.0294923803553938e-06,-2.4258309388055198e-06,-4.3663713913965913e-07,-3.828341780198752e-06,-4.9959862311868206e-06,-1.515996303085498e-06,-2.5714249412699293e-06,-3.308232421507431e-06,2.1300743407179704e-08,-1.380316799271539e-06,-3.3326555615278882e-06,8.176865046362488e-07,-2.5357383545232624e-07,1.941149452217841e-06,1.4808175882183652e-06,-1.2774153625065912e-06,-1.0224952781963219e-06,2.3830262065331533e-06,-1.780279908088732e-07,3.8537157335833544e-07,-3.4697972258054214e-06,-2.4594194666363502e-06,-1.1751826509897798e-06,-2.015008532045635e-06,2.0478416632092097e-08,-3.842996413202417e-07,-3.960490821484485e-08,-6.863308106884805e-07,2.067396176751689e-06,7.849195805755167e-08,1.963574635464871e-06,-2.1659589588480296e-06,-1.877549723369211e-06,5.514863265305894e-06,-4.254870346837329e-06,-3.8801548024321e-07,1.5599441791898459e-06,3.7459586789288703e-06,-6.968017968285109e-07,7.732186405421887e-07,-1.194387109256748e-06,-1.4359605366683677e-06,-3.106452850181081e-06,-6.481484425861425e-08,6.161993566917295e-06,9.879851571633486e-07,2.0388027082035055e-06,1.6912776597625403e-06,1.447803437992258e-06,8.915014941043159e-07,2.7102134736149306e-06,-4.6137909597335734e-07,-4.6250323023071683e-07,2.6940409423444024e-07,-8.808778300175977e-07,4.0771090598339804e-07,1.0285539545798299e-06,6.860372575919361e-07,1.4434461277222817e-06,1.8126321555834296e-06,-2.4163256622487805e-07,-7.656104652985479e-07,-2.321020100826284e-06,-6.893331464339486e-07,2.709754373794379e-08,-1.0474727693814828e-07,6.156120392458156e-07,-2.116315485822584e-06,-1.8729242390457142e-06,3.9915581929973135e-07,-2.448489185826125e-07,2.4749031464574994e-07,3.3733364190099285e-09,163.94004110414903,204.6903555202843,0.0,0.0
5,-6.664408825143853e-11,1.3596853726469127e-06,1.5183838915583479e-06,1.2788953351779153e-06,2.93962971341182e-06,-2.488792852764054e-06,-1.6442677054401451e-06,-1.61941314124215e-06,-4.308929282209953e-07,4.2690540049002655e-07,3.724012805639016e-07,-1.363092818611189e-06,4.56666159481681e-06,-2.652696762125116e-07,-8.335558063245728e-07,-7.582617155893132e-07,-2.8419876300484447e-06,-1.3669762278438295e-06,-6.159642548457089e-07,1.7011623402818452e-06,-5.5264729269889666e-08,1.0526355973105512e-06,-1.443798158335492e-06,2.4355156854782736e-06,3.2999879967296865e-06,1.3464052273451117e-06,1.5103498450647328e-06,2.727925406124671e-06,3.653549350300222e-06,4.0371647065294775e-06,-3.362741065307453e-07,9.36520400214233e-07,-7.519389214603357e-07,3.0021752501336284e-06,5.322075724986056e-07,6.294842212880495e-07,1.9080623889153325e-06,-1.4359542050683015e-06,-6.175222329045556e-07,1.4209586424343383e-06,-1.1212727965351221e-06,-3.430152618602014e-06,-2.6837978072020985e-07,-1.2710231682695576e-06,3.1539838294961575e-06,3.7182341464745555e-06,1.0984390070311895e-06,2.233136240476722e-07,-1.684278650700339e-06,1.7466039743472807e-06,-1.578029471341726e-06,-2.1548707932225568e-06,-4.153375780350859e-06,-2.7389316798059633e-06,-6.3421052400442195e-06,-2.614702627924551e-06,-1.5072416169109246e-06,-7.72859998526376e-06,5.278039700066205e-07,2.6719900545486407e-06,2.019258368003013e-06,-1.899746360518829e-06,5.62973126140608e-07,7.068558445020283e-07,1.0560796806006437e-06,4.1668447131918643e-07,3.515555238783278e-06,1.8067833374704398e-07,-2.5839313609120167e-06,-5.077233035505856e-07,8.850342229367158e-07,-3.955160899604118e-07,-1.8025272703354328e-07,-4.0875840429479594e-07,6.220797846762972e-07,-2.882376268911811e-07,-2.651267755233457e-07,2.868750996350394e-07,8.155615754326927e-07,4.301825969843477e-07,-1.2852695659706318e-06,-2.66097915110116e-06,-1.974407128929167e-06,-2.9398325725774836e-06,-2.024850005708824e-07,1.9888796961079185e-06,1.5698022161199062e-06,7.884210815939027e-07,2.2219518350935497e-06,-1.6173018087197073e-07,-2.2462728833569888e-08,-4.735374025782691e-07,1.0879227925759797e-06,6.428795671953617e-07,-8.297139760896641e-07,-7.362133582844779e-08,-8.673617379884035e-19,204.78922190328933,245.67256992767034,0.0,0.0
6,-3.0176744089671637e-10,-2.0879483310165883e-06,-1.8926826550225455e-06,-2.0087849063013703e-06,-3.5607200577246543e-06,2.1227634751930236e-06,1.7778817662544e-06,3.263479905743277e-07,1.9509233320693514e-06,3.7049566208637854e-07,-2.6498285419541967e-07,2.612238099701557e-06,-5.196076811953779e-06,-2.3692759450666054e-07,-2.145187526887086e-06,-1.077240990669413e-06,-9.584328935553256e-08,-2.5332342268270455e-07,2.1677163660337347e-06,-1.4052972059982061e-06,3.4340234913611133e-07,-5.555541541793014e-07,8.714507252912361e-07,-1.968228819612325e-06,-4.087567126676082e-06,-1.1252586111362359e-06,-3.0985395232176497e-06,-1.1942282987847594e-06,-1.6518434139186494e-07,-2.259023040861543e-06,1.4761440276652663e-06,2.9225500031804068e-06,-2.0329702015678582e-07,4.769563099751243e-07,-2.3417875826284241e-07,-4.247733417301529e-07,-1.1147207068106131e-06,2.7594674045392995e-07,-1.7978775083749877e-06,1.3132260037766394e-06,1.6996628658051856e-06,5.10349636476874e-06,1.0167717026145218e-06,-4.3711648590885957e-07,-2.0731110657169587e-06,-2.7489613089494436e-06,-1.0230526680645238e-06,2.261495890316153e-06,2.182351954720617e-06,-3.0254922049610666e-06,4.5994746902187607e-07,1.3945302631457237e-06,1.2563859505137793e-06,6.7560949897858e-06,-1.128465282403731e-06,9.117168145431932e-07,7.969117574394696e-07,8.37510464039284e-06,-1.1982591116735213e-06,-4.664582187001659e-06,-3.901660339807088e-06,-2.1380853201859737e-06,-6.603778121845431e-07,7.958691452825343e-07,3.313463563846611e-07,2.0989754346244227e-07,-2.791835511130477e-06,-1.2462310841482305e-06,-7.122545179418134e-07,-1.122803378831444e-06,-3.229067639206294e-06,-2.9219635797712255e-07,-1.8241516221606698e-07,1.2509464654242124e-06,-6.577176989425301e-07,-4.7130446803871507e-07,4.619999063735689e-07,-6.49071564145655e-07,-8.406077284488217e-07,-9.483781490219343e-07,1.8382089445614057e-06,2.2229697491328495e-06,2.4559663620374317e-06,1.155259637712451e-06,-6.638492310348087e-07,-1.4712609605531477e-06,-1.835509582921919e-06,2.073253045443979e-06,-2.5657557563203183e-06,-1.611788378356408e-07,4.5310644428500375e-07,2.130823785620727e-06,-7.563804971303626e-07,-5.470599367636618e-07,3.0012722579707057e-07,1.7007877719382725e-07,0.0,245.7675577612347,286.5958103417561,0.0,0.0
7,2.811454940382374e-10,8.570369501329986e-07,-3.8928730079486155e-07,1.120627329552308e-06,6.4882757214895e-07,-1.2901574215852443e-07,-8.538254061343854e-07,8.480208661481269e-09,-8.511349285247969e-07,-5.108405375563391e-07,4.277384577841808e-07,-2.322197743924014e-06,4.981325988105256e-06,4.366947054163829e-06,7.925609987651308e-07,-3.742625388535167e-06,-3.1379102935942538e-06,-1.3762928975703283e-06,-2.491571142525283e-06,5.2858646815492905e-08,-9.356544459614027e-07,5.852787866496108e-07,3.649592866959619e-07,5.80137549950567e-07,2.1838924730359062e-06,3.1602111533936966e-06,3.892196879707981e-06,3.585132103475254e-06,2.994550698139087e-06,1.8999596361550216e-06,-1.9934253579468285e-06,-2.7045762866361074e-06,-9.342116889005277e-07,1.2037779373397315e-06,2.167528077073248e-07,1.2979616454678576e-06,6.312257393617342e-07,2.8773481288043006e-07,1.2291226780629643e-06,-2.1956772621187573e-06,2.2244721451921898e-06,-7.17490791071751e-07,2.0041156845304262e-07,1.6496635531493276e-06,-1.5207198457596865e-07,8.699838606517161e-07,-3.84998968437026e-08,1.8740406800861606e-07,-2.6415335532970884e-06,2.5944553693807825e-06,2.938135809198378e-06,1.2380971231898928e-07,1.1505788146039947e-06,-8.465397805762324e-07,6.18350656356138e-07,3.0194878090012475e-06,7.177366156078252e-07,-6.340397033704061e-06,3.159928299223489e-06,5.747363966317979e-06,2.717796817644372e-06,2.6779880320640164e-06,-8.516477071021547e-08,-1.0859976506939775e-06,-2.797805883968194e-07,-6.756221044209318e-07,2.028145462701185e-06,1.3846868337358265e-06,1.3325216345369366e-06,4.1755452377624167e-08,2.2747763945359274e-06,-2.6552530098657243e-07,-4.6325847883688445e-07,-9.532307768680363e-07,1.1473864816721399e-07,-6.659274479731375e-07,-9.925711824892796e-07,2.1448114531104736e-07,-2.8601213435651158e-09,1.113381650944315e-06,-1.581915229363932e-06,-5.934389340361574e-07,-8.012217753935492e-07,1.5006241957814161e-06,-1.0997347441360408e-06,1.3678013576451202e-06,2.1444171972915095e-06,1.8109060804789683e-07,1.2406370663389267e-06,-1.4545483879163656e-07,2.3005959518463586e-06,-1.7311625752411527e-06,4.312286010089007e-08,-2.0643741622389244e-07,-2.3824766752223977e-07,-2.194208609772319e-07,6.505213034913027e-19,286.72042010254427,327.57547836411294,0.0,0.0
8,4.76128020690525e-10,-3.573826424471162e-07,-1.246796198913977e-07,-8.874840274420218e-07,-5.677003925030379e-07,-1.5974066652440057e-06,5.277988739769567e-08,3.361772293041269e-07,-1.9211141728727593e-07,5.113503355030349e-07,9.351687800633612e-07,8.24410637992757e-07,8.713711697116641e-07,-1.6474236205746198e-06,2.4666105854320546e-06,3.7113145096496526e-06,4.963858965693901e-06,-2.894694656561253e-07,-2.61407393390865e-06,-2.655105230658667e-06,-1.0062953394678444e-06,5.383584995266827e-09,-2.3645278459166405e-06,-1.4337836210333082e-06,1.8507667983229349e-06,-9.005953675548118e-07,-9.943150608953798e-07,1.3171818728091589e-06,-2.1175877562337048e-06,-3.2575922080231795e-06,2.1857499499634923e-06,2.320010426595017e-06,8.76769286874135e-07,-4.127037979288371e-06,2.54458795861377e-06,-1.3701641303060213e-06,-2.4722551575564328e-06,-2.693851921185082e-06,-2.6891918744724203e-06,-2.6643573330280626e-06,-1.3480654387798031e-06,4.978232215377236e-07,8.284975684044737e-07,1.0477940424074607e-06,5.195691660002865e-07,-8.525010821089363e-07,3.9397495783539266e-07,-1.0198875787187454e-06,1.8982996452259642e-06,-1.29688383331999e-06,-1.5378828959313005e-06,1.051349055312175e-07,5.25777446366317e-07,-3.0627792002869405e-06,3.0476921719045907e-06,4.1446236081045876e-06,2.0734054025778326e-06,-7.860937678084209e-07,5.473450560499913e-06,-3.442977216702725e-06,-1.4340179108603222e-06,5.605027013526939e-07,5.275616329352307e-07,6.956628154650968e-07,-1.5424093798440362e-06,-7.269347608671733e-07,-3.4945324394888106e-06,8.003327060311476e-07,-1.955779696386547e-07,3.0807202450074383e-06,-8.140845869555186e-08,2.3145990601274643e-06,6.031664482489089e-07,-6.884289210772488e-07,-1.944662883588441e-06,1.1996479863685692e-06,1.3860489700115615e-06,-1.5650260917498572e-07,-1.4032630080302309e-08,-4.482336211184424e-07,9.991112006587158e-07,-1.097425143953279e-07,-1.4013377517847064e-07,2.2280306162807302e-07,1.6147161624748517e-06,-1.0541093959390378e-06,-2.1707452644367667e-06,-2.8840033642388817e-06,-1.4331594337239385e-06,2.3671442197041852e-06,-2.9167041076296743e-06,3.5397595668555876e-07,8.183986074721482e-07,5.993437495832674e-07,3.268243832455701e-07,-1.4769497292993657e-07,-4.336808689942018e-19,327.67424585267315,368.5114829830517,0.0,0.0
9,-3.8748213969028167e-10,1.154544938308192e-06,1.501002804989637e-06,1.1942545840989624e-06,1.1094252556690092e-06,1.1951151013156903e-06,-3.4402697402327755e-07,2.8121766484944834e-07,7.408570418475889e-07,5.864645022775274e-07,-1.2494478229551926e-06,9.17246794894435e-07,-5.17627305530316e-06,-2.713444532868956e-06,-6.468267132794109e-07,1.9004604875339469e-06,-8.425380325603748e-07,1.420506115127479e-06,3.2693175941889835e-06,1.8270388955333138e-06,1.2829041238602169e-06,5.95128984811232e-07,4.978460614846712e-07,1.7929198307901754e-06,-2.6623072152994875e-06,2.089484865903978e-06,-1.2703938116535819e-06,-4.482630565294521e-06,-3.1436068850475805e-06,-2.515966754305975e-06,-4.320441035599466e-06,-2.8715469260129356e-06,4.5712543050033597e-07,1.515099394148187e-06,-8.209473000940216e-07,1.1611205263783856e-06,2.9543423367792577e-06,1.9427467425424784e-06,3.828482939409591e-06,3.172572956610612e-06,-3.3150730758754743e-07,-2.037591027538631e-06,-1.3924684472838011e-06,4.259047318901782e-07,6.247976102457132e-07,8.958811313062622e-07,1.7694414610463106e-06,-1.6093063550824335e-07,-1.4072665024259575e-06,1.3104316124887229e-06,2.709394859678853e-07,-1.2070089355068793e-06,-2.226682704297312e-06,-2.884033035454236e-06,3.2999838233934223e-06,-7.745515747239811e-06,-1.2508241706002052e-06,7.430347378078669e-06,-3.478629530376731e-06,1.8910216939300312e-07,-7.444846133446842e-07,-3.7348672876755164e-07,-8.162015927481645e-07,-1.2630490945707122e-06,1.6060326383708179e-06,2.27662393576032e-06,2.183609930125072e-06,1.3763973554579804e-06,-7.228726603125939e-07,-7.605909502622892e-07,-5.629391470851446e-07,1.3895511359108582e-07,6.294504838917636e-07,1.4061809676636176e-06,1.961437949838697e-06,-6.112690455582098e-07,-1.0281785214028786e-06,-3.898764604735465e-07,4.7338452804830564e-07,-1.0947846048887499e-06,-1.113102290643906e-06,1.7609813124821842e-06,3.70125648940442e-08,-5.431209073420654e-07,-1.2831540749441359e-06,8.292521844531584e-07,3.6999229825407853e-06,-2.6159413673404984e-07,6.448808569136169e-08,-3.2665294798519227e-06,3.4886583060423325e-06,2.734448218554182e-07,-2.8637736017775024e-07,3.8290062970492604e-07,3.9548402954906565e-07,2.673401817473303e-07,-1.5178830414797062e-18,368.62969095760116,409.4949608536125,0.0,0.0
